session,accept,bold,bullets,numbered,list,no_shown_work,no_gold_answer,style_clean,turns,first_reply_chars,accept_cum,accept_rate_10,bold_rate_10,list_rate_10,style_clean_rate_10
0,0,1,1,0,1,1,0,0,4,376,0,0.0,1.0,1.0,0.0
1,0,1,1,0,1,0,0,0,3,349,0,0.0,1.0,1.0,0.0
2,0,1,1,0,1,1,0,0,3,391,0,0.0,1.0,1.0,0.0
3,0,1,1,0,1,0,0,0,4,457,0,0.0,1.0,1.0,0.0
4,0,1,1,0,1,0,0,0,2,343,0,0.0,1.0,1.0,0.0
5,0,1,0,1,1,1,0,0,3,346,0,0.0,1.0,1.0,0.0
6,0,1,1,0,1,0,0,0,3,422,0,0.0,1.0,1.0,0.0
7,0,1,0,0,0,0,0,0,3,226,0,0.0,1.0,0.875,0.0
8,0,1,1,0,1,0,0,0,8,742,0,0.0,1.0,0.8888888888888888,0.0
9,0,1,1,0,1,0,1,0,4,347,0,0.0,1.0,0.9,0.0
10,0,1,1,0,1,0,0,0,3,548,0,0.0,1.0,0.9,0.0
11,0,1,1,1,1,0,0,0,3,815,0,0.0,1.0,0.9,0.0
12,0,1,1,0,1,0,0,0,3,255,0,0.0,1.0,0.9,0.0
13,0,1,1,0,1,0,0,0,4,416,0,0.0,1.0,0.9,0.0
14,0,1,1,0,1,0,0,0,2,395,0,0.0,1.0,0.9,0.0
15,0,1,0,1,1,0,0,0,3,648,0,0.0,1.0,0.9,0.0
16,0,1,1,0,1,0,0,0,3,476,0,0.0,1.0,0.9,0.0
17,0,1,1,0,1,1,0,0,3,393,0,0.0,1.0,1.0,0.0
18,0,1,1,0,1,0,0,0,2,425,0,0.0,1.0,1.0,0.0
19,0,0,1,0,1,0,0,0,3,219,0,0.0,0.9,1.0,0.0
20,0,1,0,1,1,0,0,0,3,263,0,0.0,0.9,1.0,0.0
21,1,0,0,0,0,0,0,1,2,359,1,0.1,0.8,0.9,0.1
22,1,0,0,0,0,0,0,1,2,389,2,0.2,0.7,0.8,0.2
23,1,0,0,0,0,0,0,1,2,662,3,0.3,0.6,0.7,0.3
24,1,0,0,0,0,0,0,1,4,240,4,0.4,0.5,0.6,0.4
25,0,0,1,0,1,0,0,0,2,686,4,0.4,0.4,0.6,0.4
26,1,0,0,0,0,0,0,1,2,678,5,0.5,0.3,0.5,0.5
27,0,1,0,1,1,0,0,0,2,676,5,0.5,0.3,0.5,0.5
28,0,0,0,0,0,0,0,1,0,0,5,0.5,0.2,0.4,0.6
29,0,0,0,1,1,0,0,0,1,520,5,0.5,0.2,0.4,0.6
30,0,0,0,0,0,0,0,1,0,0,5,0.5,0.1,0.3,0.7
31,0,0,0,0,0,0,0,1,0,0,5,0.4,0.1,0.3,0.7
32,1,0,0,0,0,0,0,1,1,246,6,0.4,0.1,0.3,0.7
33,0,0,1,0,1,0,0,0,3,353,6,0.3,0.1,0.4,0.6
34,0,1,0,1,1,0,0,0,2,353,6,0.2,0.2,0.5,0.5
35,0,0,0,1,1,0,1,0,1,189,6,0.2,0.2,0.5,0.5
36,0,1,1,0,1,0,0,0,1,379,6,0.1,0.3,0.6,0.4
37,0,0,0,0,0,0,0,1,0,0,6,0.1,0.2,0.5,0.5
38,0,0,0,0,0,0,0,1,0,0,6,0.1,0.2,0.5,0.5
39,0,0,0,0,0,0,0,1,0,0,6,0.1,0.2,0.4,0.6
40,0,0,0,0,0,0,0,1,0,0,6,0.1,0.2,0.4,0.6
41,0,0,0,0,0,0,0,1,0,0,6,0.1,0.2,0.4,0.6
42,0,0,0,0,0,0,0,1,0,0,6,0.0,0.2,0.4,0.6
43,0,0,0,0,0,0,0,1,0,0,6,0.0,0.2,0.3,0.7
44,0,0,0,0,0,0,0,1,0,0,6,0.0,0.1,0.2,0.8
